,Year,Model,Condition,Price,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
0,2023,Ridgeline RTL,New,46370,4.8,platinum white pearl,beige,AWD,22–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,10,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer
1,2023,CR-V Hybrid Sport,New,34245,4.7,meteorite gray metallic,black,FWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,1,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer
2,2022,Pilot TrailSport,New,46500,5.0,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
3,2023,CR-V Hybrid Sport Touring,New,40395,4.4,crystal black pearl,black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,5,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer
4,2023,Odyssey EX-L,New,42250,4.4,pacific pewter metallic,mocha,FWD,22–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,4.0,4.0,4.0,5.0,CA,Dealer
5,2022,Pilot Special Edition,New,44600,5.0,dark cherry pearl,beige,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,NV,Dealer
6,2023,CR-V EX-L,New,34640,4.7,crystal black pearl,crystal black,AWD,22–31,Gasoline,cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,4.0,4.0,5.0,AZ,Dealer
7,2023,Pilot Sport,New,42595,4.3,lunar silver metallic,black,AWD,19–25,Gasoline,10-speed automatic,V6 Cylinder Engine,1,4.9,4.3,5.0,4.6,5.0,4.8,UT,Dealer
8,2023,CR-V Hybrid Sport Touring,New,40939,4.5,platinum white pearl,crystal black,AWD,22–31,Hybrid,cvt,2.0L I4 16V GDI DOHC Hybrid,15,5.0,3.0,4.0,4.0,5.0,5.0,CO,Dealer
9,2022,Ridgeline RTL-E,New,43190,4.7,platinum white pearl,black,AWD,18–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,4.9,4.9,4.3,4.7,5.0,WA,Dealer
