,Year,Model,Condition,Price,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
0,2023,128,1,46370,4.8,99,3,1,39,1,10,45,10,5.0,4.8,4.8,4.2,5.0,5.0,4,0
1,2023,30,1,34245,4.7,65,4,2,39,2,13,27,1,5.0,3.0,4.0,4.0,5.0,5.0,4,0
2,2022,120,1,46500,5.0,123,4,1,16,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,4,0
3,2023,31,1,40395,4.4,32,4,1,39,2,13,27,5,5.0,3.0,4.0,4.0,5.0,5.0,4,0
4,2023,92,1,42250,4.4,92,26,2,39,1,1,45,5,5.0,5.0,4.0,4.0,4.0,5.0,4,0
5,2022,115,1,44600,5.0,33,3,1,17,1,8,45,3,5.0,5.0,5.0,5.0,5.0,5.0,32,0
6,2023,27,1,34640,4.7,32,18,1,39,1,13,5,5,5.0,5.0,5.0,4.0,4.0,5.0,3,0
7,2023,116,1,42595,4.3,59,4,1,16,1,1,61,1,4.9,4.3,5.0,4.6,5.0,4.8,43,0
8,2023,31,1,40939,4.5,99,18,1,39,2,13,27,15,5.0,3.0,4.0,4.0,5.0,5.0,5,0
9,2022,129,1,43190,4.7,99,4,1,11,1,8,45,10,5.0,4.9,4.9,4.3,4.7,5.0,46,0
10,2022,129,1,42795,4.7,89,20,1,11,1,8,45,9268,5.0,4.9,4.9,4.3,4.7,5.0,46,0
11,2023,129,1,48820,4.8,99,3,1,39,1,10,45,5,5.0,4.8,4.8,4.2,5.0,5.0,28,0
12,2023,84,1,29039,4.6,99,4,1,52,1,13,48,16,4.0,5.0,4.0,5.0,5.0,5.0,35,0
13,2023,27,1,36504,4.7,32,20,1,63,1,13,48,2,5.0,5.0,5.0,4.0,4.0,5.0,35,0
14,2023,30,1,34089,4.4,99,4,2,103,2,13,48,2,5.0,3.0,4.0,4.0,5.0,5.0,35,0
15,2022,120,1,46420,4.4,123,4,1,16,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,35,0
16,2022,102,1,47620,4.9,99,20,1,15,1,8,45,10,5.0,5.0,4.9,5.0,4.9,5.0,42,0
17,2022,116,1,39595,4.5,32,18,1,17,1,8,45,5,5.0,5.0,5.0,5.0,5.0,5.0,42,0
18,2023,27,1,35400,4.9,99,4,2,39,1,13,3,10,5.0,5.0,5.0,4.0,4.0,5.0,42,0
19,2022,120,1,46500,4.6,123,4,1,16,1,8,45,8,5.0,5.0,5.0,5.0,5.0,5.0,35,0
20,2022,20,1,35150,4.8,99,4,2,40,1,1,28,5,5.0,5.0,5.0,5.0,5.0,5.0,15,0
21,2022,19,1,30075,4.8,32,4,2,76,1,13,5,5,5.0,5.0,5.0,5.0,5.0,5.0,15,0
22,2022,120,1,46719,4.5,99,4,1,16,1,8,45,6,5.0,5.0,5.0,5.0,5.0,5.0,11,0
23,2022,105,1,41500,4.5,6,18,1,15,1,8,45,13,5.0,5.0,4.9,5.0,4.9,5.0,23,0
24,2022,108,1,43605,5.0,59,20,1,17,1,8,45,0,5.0,5.0,5.0,5.0,5.0,5.0,22,0
25,2023,98,1,43160,4.4,99,4,2,39,1,1,45,6,5.0,5.0,4.0,4.0,4.0,5.0,11,0
26,2022,101,1,43230,4.9,105,4,1,15,1,8,45,1,5.0,5.0,4.9,5.0,4.9,5.0,11,0
27,2023,27,1,36505,4.7,59,4,1,39,1,13,5,6,5.0,5.0,5.0,4.0,4.0,5.0,11,0
28,2023,26,1,34250,4.7,99,20,1,39,1,13,5,6,5.0,5.0,5.0,4.0,4.0,5.0,11,0
29,2022,120,1,46500,5.0,99,4,1,16,1,8,45,16,5.0,5.0,5.0,5.0,5.0,5.0,11,0
30,2023,27,1,35005,4.7,65,20,2,39,1,13,5,1,5.0,5.0,5.0,4.0,4.0,5.0,11,0
31,2023,27,1,37055,4.7,32,20,1,39,1,13,5,1,5.0,5.0,5.0,4.0,4.0,5.0,11,0
32,2022,105,1,47848,4.9,123,4,1,15,1,8,45,32,5.0,5.0,4.9,5.0,4.9,5.0,11,0
33,2022,115,1,44205,5.0,72,4,1,17,1,8,45,1,5.0,5.0,5.0,5.0,5.0,5.0,11,0
34,2023,105,1,44290,4.8,99,4,1,39,1,10,45,12,4.8,5.0,5.0,4.1,4.6,4.9,17,0
35,2023,27,1,38500,4.7,32,4,1,39,1,13,5,12,5.0,5.0,5.0,4.0,4.0,5.0,17,0
36,2023,27,1,37000,4.7,111,4,2,39,1,13,5,12,5.0,5.0,5.0,4.0,4.0,5.0,17,0
