,Year,Model,Condition,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
0,2022,passport trailsport,Used,4.5,platinum white pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,8209,5.0,5.0,4.9,5.0,4.9,5.0,IN,Dealer
1,2022,pilot sport,New,5.0,crystal black pearl,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,5.0,5.0,5.0,5.0,AL,Dealer
2,2023,pilot elite,New,3.6,modern steel metallic,black,AWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,5,4.9,4.2,4.8,4.5,4.9,4.9,WV,Dealer
3,2023,civic ex,New,4.7,morning mist metallic,mocha,FWD,23–31,Gasoline,automatic cvt,1.5L 4 Cylinder,5,4.7,5.0,4.1,4.6,4.7,4.8,FL,Dealer
4,2019,passport sport,Used,4.9,modern steel metallic,black,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10340,4.8,4.7,4.7,4.6,4.7,4.8,FL,Dealer
5,2018,accord ex,Used,4.8,black,black,FWD,30–38,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,24735,4.8,4.8,4.7,4.7,4.8,4.8,CO,Dealer
6,2021,passport sport,Used,4.4,platinum white pearl,black,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,16090,4.9,4.7,4.8,4.6,4.8,4.8,NC,Dealer
7,2023,pilot ex-l,New,5.0,crystal black,black,FWD,23–31,Gasoline,10-speed automatic,3.5L V6 DOHC 24V,4,4.7,4.3,5.0,4.4,4.3,4.9,VA,Dealer
8,2023,pilot ex-l 7-passenger,New,4.8,platinum white pearl,mocha,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI DOHC,5,5.0,4.7,5.0,4.6,5.0,4.9,TN,Dealer
9,2019,passport touring,Used,4.1,obsidian blue pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,20219,4.8,4.7,4.7,4.6,4.7,4.8,CA,Dealer
10,2023,hr-v sport,New,5.0,platinum white,black,AWD,23–31,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,47,4.0,5.0,4.0,5.0,5.0,5.0,MN,Dealer
11,2020,hr-v lx,Honda Certified,3.9,crystal black pearl,black,AWD,27–31,Gasoline,automatic cvt,1.8L I4 16V MPFI SOHC,26505,4.7,4.8,4.7,4.8,4.8,4.7,MN,Dealer
12,2022,accord sport 1.5t,New,3.1,crystal black pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer
13,2022,passport trailsport,Used,5.0,platinum white pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,593,5.0,5.0,4.9,5.0,4.9,5.0,LA,Dealer
14,2022,pilot sport,New,4.8,platinum white,mocha,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
15,2019,passport touring,Used,4.9,red,gray,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10722,4.8,4.7,4.7,4.6,4.7,4.8,FL,Dealer
16,2020,accord sport 1.5t,Used,4.8,black,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,17797,4.8,4.8,4.8,4.8,4.9,4.9,IN,Dealer
17,2023,civic sport,New,4.9,platinum white pearl,black,FWD,23–31,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,6,4.5,5.0,4.9,4.2,4.9,4.7,CT,Dealer
18,2011,pilot ex,Used,4.7,alabaster silver metallic,gray,4WD,16–22,Gasoline,5-speed automatic,3.5L V6 24V MPFI SOHC,188345,4.7,4.4,4.4,4.4,4.5,4.6,ND,Dealer
19,2023,odyssey touring,New,4.9,black,black,FWD,23–31,Gasoline,10-speed automatic with overdrive,3.5L V6 24V GDI SOHC,6,5.0,5.0,4.0,4.0,4.0,5.0,IN,Dealer
20,2022,accord sport 2.0t,New,5.0,sonic gray pearl,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,10,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
