Year,Model,Condition,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2022,Passport TrailSport,Used,4.5,239,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H69NB006574,W18127,8209,5.0,5.0,4.9,5.0,4.9,5.0,IN,Dealer
2022,Pilot Sport,New,5.0,67,Crystal Black Pearl,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB090923,H22772,10,5.0,5.0,5.0,5.0,5.0,5.0,AL,Dealer
2023,Pilot Elite,New,3.6,35,Modern Steel Metallic,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H89PB003117,HT30112,5,,,,,,,WV,Dealer
2023,Civic EX,New,4.7,2444,Morning Mist Metallic,–,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L 4 Cylinder,2HGFE1F71PH302930,PH302930,5,,,,,,,FL,Dealer
2019,Passport Sport,Used,4.9,6788,Modern Steel Metallic,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H26KB011783,913281A,10340,4.8,4.7,4.7,4.6,4.7,4.8,FL,Dealer
2018,Accord EX,Used,4.8,11,Black,Black,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F44JA206868,23736272,24735,4.8,4.8,4.7,4.7,4.8,4.8,CO,Dealer
2021,Passport Sport,Used,4.4,614,Platinum White Pearl,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H23MB010058,DP6695,16090,4.9,4.7,4.8,4.6,4.8,4.8,NC,Dealer
2023,Pilot EX-L,New,5.0,4674,Crystal Black,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 DOHC 24V,5FNYG2H43PB000409,H34515,4,,,,,,,VA,Dealer
2023,Pilot EX-L 7-Passenger,New,4.8,2243,Platinum White Pearl,–,AWD,,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5FNYG1H57PB004952,PB004952,5,,,,,,,TN,Dealer
2019,Passport Touring,Used,4.1,1747,Obsidian Blue Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H91KB007367,007367,20219,4.8,4.7,4.7,4.6,4.7,4.8,CA,Dealer
2023,HR-V Sport,New,5.0,2352,Platinum White,Black,All-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ2H5XPM701154,Q3001,47,4.0,5.0,4.0,5.0,5.0,5.0,MN,Dealer
2020,HR-V LX,Honda Certified,3.9,1075,Crystal Black Pearl,Black,All-wheel Drive,27–31,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H33LM739145,R252859A,26505,4.7,4.8,4.7,4.8,4.8,4.7,MN,Dealer
2022,Accord Sport 1.5T,New,3.1,133,Crystal Black Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F37NA087789,HAH221612,5,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer
2022,Passport TrailSport,Used,5.0,2602,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H60NB026177,T558481A,593,5.0,5.0,4.9,5.0,4.9,5.0,LA,Dealer
2022,Pilot Sport,New,4.8,723,Platinum White,–,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H31NB039170,H039170R,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
2019,Passport Touring,Used,4.9,1351,Red,Gray,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H96KB007018,K2099,10722,4.8,4.7,4.7,4.6,4.7,4.8,FL,Dealer
2020,Accord Sport 1.5T,Used,4.8,1053,Black,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31LA144632,V7632A,17797,4.8,4.8,4.8,4.8,4.9,4.9,IN,Dealer
2023,Civic Sport,New,4.9,1924,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,19XFL2H80PE003263,23065,6,,,,,,,CT,Dealer
2011,Pilot EX,Used,4.7,161,Alabaster Silver Metallic,Gray,Four-wheel Drive,16–22,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H47BB101086,T3N0461X,188345,4.7,4.4,4.4,4.4,4.5,4.6,ND,Dealer
2023,Odyssey Touring,New,4.9,2138,Black,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic with Overdrive,3.5L V6 24V GDI SOHC,5FNRL6H89PB035711,2815Z,6,5.0,5.0,4.0,4.0,4.0,5.0,IN,Dealer
2022,Accord Sport 2.0T,New,5.0,1571,Sonic Gray Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA024878,H221464,10,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
2023,CR-V Hybrid Sport Touring,New,4.9,435,White,Gray,All-wheel Drive,40–34,Hybrid,electronic continuously variable,4 Cylinder Engine,7FARS6H94PE003653,H003653,21,5.0,3.0,4.0,4.0,5.0,5.0,MA,Dealer
2023,Odyssey EX-L,New,4.6,1100,White,Black,FWD,,Gasoline,–,3.5L V6 24V GDI SOHC,5FNRL6H64PB038904,HA24967,0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer
