,MaritalStatus,NumberOfChildren,NumberOfYoungChildren,Minority,Debts,Income,Education,LegalKnowledge,InvolvedInLegalDispute,ExperienceWithCourtProceedings,CourtProceedingsSatisfaction,ExperienceWithMediation,MediationSatisfaction,ExperienceWithArbitration,ArbitrationSatisfaction,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,BF11,BF12,BF13,BF14,BF15,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Student status,Employment status,STNumber,Feelings,Speed,Privacy,PublicVindication,NeutralOpinion,MinimizeCosts,MaintainImproveRelationship,CreatePrecedent,MinMaxCompensation,CreativeSolution,ControlOfProcess,ControlOfOutcome,ShiftResponsibility,EnsuringCompliance,TransformationOfTheParties,ImproveUnderstanding,RecognitionApology,Classification,StrengthPosition,Decision
0,Single,0,0,FALSE,Some Debts,Above Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,5,3,4,4,3,4,3,5,3,4,4,5,4,5,B,B,B,A,A,B,A,A,A,B,28,Female,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,8,"[""anger"",""fear"",""frustration"",""confusion""]",5,2,1,5,5,4,4,5,1,1,4,4,5,4,4,5,Serious Dispute,Stronger,Public Complaint
1,Single,0,0,FALSE,Some Debts,Above Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,5,3,4,4,3,4,3,5,3,4,4,5,4,5,B,B,B,A,A,B,A,A,A,B,28,Female,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,3,"[""anger"",""frustration"",""hate"",""stress""]",5,1,4,1,3,3,4,5,1,3,4,2,5,5,5,5,Major Conflict,Stronger,Arbitration
2,Single,0,0,FALSE,Some Debts,Above Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,5,5,3,4,4,3,4,3,5,3,4,4,5,4,5,B,B,B,A,A,B,A,A,A,B,28,Female,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,2,"[""anger"",""sadness"",""frustration""]",4,2,2,4,4,3,4,4,1,1,1,4,5,5,5,5,Misunderstanding,Weaker,Let go
3,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,3,2,3,2,3,2,3,4,1,4,3,2,4,B,A,B,B,A,B,B,A,A,B,20,Male,White,Poland,Poland,Poland,Yes,Unemployed (and job seeking),7,"[""anger"",""sadness"",""frustration"",""hate""]",1,3,4,3,2,2,4,4,3,3,3,3,2,3,3,5,Serious Dispute,Stronger,Arbitration
4,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,3,2,3,2,3,2,3,4,1,4,3,2,4,B,A,B,B,A,B,B,A,A,B,20,Male,White,Poland,Poland,Poland,Yes,Unemployed (and job seeking),8,"[""fear"",""stress""]",2,2,5,3,2,4,2,2,3,2,3,3,3,2,3,5,Serious Dispute,Stronger,Public Complaint
5,Single,0,0,FALSE,No Debts,Below Average,High School,Some Knowledge,FALSE,FALSE,0,FALSE,0,FALSE,0,3,4,3,2,3,2,3,2,3,4,1,4,3,2,4,B,A,B,B,A,B,B,A,A,B,20,Male,White,Poland,Poland,Poland,Yes,Unemployed (and job seeking),2,"[""sadness"",""anger"",""frustration""]",4,4,4,3,4,3,3,3,2,3,4,3,2,4,2,5,Misunderstanding,Weaker,Adjudication
6,Single,0,0,TRUE,Some Debts,Average,High School,Some Knowledge,TRUE,TRUE,2,TRUE,3,TRUE,2,5,5,2,2,4,5,5,5,5,3,5,4,4,4,4,B,A,B,A,B,A,B,A,B,A,29,Female,White,Portugal,Portugal,Portugal,DATA_EXPIRED,DATA_EXPIRED,4,"[""stress""]",3,5,3,3,5,1,4,3,3,3,5,2,2,2,5,3,Serious Dispute,Stronger,Negotiation
7,Single,0,0,TRUE,Some Debts,Average,High School,Some Knowledge,TRUE,TRUE,2,TRUE,3,TRUE,2,5,5,2,2,4,5,5,5,5,3,5,4,4,4,4,B,A,B,A,B,A,B,A,B,A,29,Female,White,Portugal,Portugal,Portugal,DATA_EXPIRED,DATA_EXPIRED,8,"[""anger"",""sadness"",""frustration"",""stress""]",5,5,5,3,5,1,5,5,3,5,5,3,4,2,2,4,Major Conflict,Stronger,Public Complaint
8,Single,0,0,TRUE,Some Debts,Average,High School,Some Knowledge,TRUE,TRUE,2,TRUE,3,TRUE,2,5,5,2,2,4,5,5,5,5,3,5,4,4,4,4,B,A,B,A,B,A,B,A,B,A,29,Female,White,Portugal,Portugal,Portugal,DATA_EXPIRED,DATA_EXPIRED,9,"[""anger"",""frustration"",""confusion""]",5,5,5,5,5,5,5,5,2,5,5,5,5,3,4,5,Serious Dispute,Stronger,Arbitration
9,Married,1,1,TRUE,Some Debts,Average,Bachelor,Some Knowledge,TRUE,FALSE,0,TRUE,4,TRUE,3,4,3,4,4,2,3,4,5,3,2,4,3,4,2,4,B,A,B,A,A,B,B,A,B,B,35,Male,White,United Kingdom,United Kingdom,United Kingdom,No,Full-Time,3,"[""sadness"",""frustration""]",4,3,4,3,4,2,4,3,4,3,3,4,3,4,2,3,Common Dispute,Stronger,Adjudication
