,MaritalStatus,NumberOfChildren,NumberOfYoungChildren,Minority,Debts,Income,Education,LegalKnowledge,InvolvedInLegalDispute,ExperienceWithCourtProceedings,CourtProceedingsSatisfaction,ExperienceWithMediation,MediationSatisfaction,ExperienceWithArbitration,ArbitrationSatisfaction,BF2,BF3,BF4,BF6,BF10,BF14,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Student status,Employment status,STNumber,Privacy,PublicVindication,NeutralOpinion,MinimizeCosts,MaintainImproveRelationship,CreativeSolution,ShiftResponsibility,Classification,StrengthPosition,Feelings_anger,Feelings_hate,Feelings_stress,Feelings_sadness,Feelings_indifference,Feelings_frustration,Feelings_confusion,Feelings_happiness,Feelings_fear,Decision
0,3,0,0,0,2,0,3,2,0,0,0,0,0,0,0,5,3,4,3,3,4,1,1,1,0,0,1,0,0,0,1,0,4,55,22,48,0,1,8,2,1,5,5,4,1,4,4,0,1,0,0,0,0,1,1,0,1,5
1,3,0,0,0,2,0,3,2,0,0,0,0,0,0,0,5,3,4,3,3,4,1,1,1,0,0,1,0,0,0,1,0,4,55,22,48,0,1,3,1,4,1,3,3,1,2,1,0,1,1,1,0,0,1,0,0,0,1
2,3,0,0,0,2,0,3,2,0,0,0,0,0,0,0,5,3,4,3,3,4,1,1,1,0,0,1,0,0,0,1,0,4,55,22,48,0,1,2,2,2,4,4,3,1,4,3,1,1,0,0,1,0,1,0,0,0,2
3,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,3,2,2,4,2,1,0,1,1,0,1,1,0,0,1,1,4,38,16,32,1,5,7,3,4,3,2,2,3,3,4,0,1,1,0,1,0,1,0,0,0,1
4,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,3,2,2,4,2,1,0,1,1,0,1,1,0,0,1,1,4,38,16,32,1,5,8,2,5,3,2,4,3,3,4,0,0,0,1,0,0,0,0,0,1,5
5,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,3,2,2,4,2,1,0,1,1,0,1,1,0,0,1,1,4,38,16,32,1,5,2,4,4,3,4,3,2,3,3,1,1,0,0,1,0,1,0,0,0,0
6,3,0,0,1,2,1,3,2,1,1,2,1,3,1,2,5,2,2,5,3,4,1,0,1,0,1,0,1,0,1,0,0,4,39,17,33,0,5,4,5,3,3,5,1,3,2,4,0,0,0,1,0,0,0,0,0,0,4
7,3,0,0,1,2,1,3,2,1,1,2,1,3,1,2,5,2,2,5,3,4,1,0,1,0,1,0,1,0,1,0,0,4,39,17,33,0,5,8,5,5,3,5,1,3,3,1,0,1,0,1,1,0,1,0,0,0,5
8,3,0,0,1,2,1,3,2,1,1,2,1,3,1,2,5,2,2,5,3,4,1,0,1,0,1,0,1,0,1,0,0,4,39,17,33,0,5,9,5,5,5,5,5,2,5,4,0,1,0,0,0,0,1,1,0,0,1
9,1,1,1,1,2,1,0,2,1,0,0,1,4,1,3,3,4,4,3,2,2,1,0,1,0,0,1,1,0,1,1,1,4,55,22,48,0,1,3,3,4,3,4,2,4,4,0,0,0,0,0,1,0,1,0,0,0,0
10,1,1,1,1,2,1,0,2,1,0,0,1,4,1,3,3,4,4,3,2,2,1,0,1,0,0,1,1,0,1,1,1,4,55,22,48,0,1,6,4,2,3,4,5,2,3,0,0,0,0,0,0,0,0,0,1,1,3
11,1,1,1,1,2,1,0,2,1,0,0,1,4,1,3,3,4,4,3,2,2,1,0,1,0,0,1,1,0,1,1,1,4,55,22,48,0,1,9,2,3,4,2,3,4,3,0,1,0,0,0,1,0,0,0,0,1,2
12,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,3,1,5,2,5,0,1,0,1,0,1,1,1,0,1,1,4,23,11,18,0,1,10,2,4,5,2,1,2,5,4,0,1,1,0,0,0,1,0,0,0,1
13,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,3,1,5,2,5,0,1,0,1,0,1,1,1,0,1,1,4,23,11,18,0,1,8,3,2,5,4,1,2,3,0,1,0,0,1,0,0,1,0,0,1,3
14,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,3,3,1,5,2,5,0,1,0,1,0,1,1,1,0,1,1,4,23,11,18,0,1,5,4,1,2,4,4,5,2,3,1,0,0,1,0,0,1,1,0,0,4
15,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,2,4,3,4,2,1,1,1,0,1,1,1,0,1,0,1,0,4,46,19,39,0,4,2,4,4,4,3,2,5,5,4,1,0,0,1,1,0,1,0,0,0,0
16,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,2,4,3,4,2,1,1,1,0,1,1,1,0,1,0,1,0,4,46,19,39,0,4,3,4,3,3,3,5,4,4,0,1,0,1,0,0,0,0,1,0,0,4
17,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,2,4,3,4,2,1,1,1,0,1,1,1,0,1,0,1,0,4,46,19,39,0,4,5,2,2,5,2,4,2,2,4,0,1,0,0,1,0,0,1,0,0,4
18,3,0,0,0,1,2,4,1,0,0,0,0,0,0,0,4,3,2,4,3,4,0,0,0,1,0,1,0,0,1,1,1,2,15,5,11,0,2,9,3,4,3,5,4,4,3,0,0,1,0,0,0,0,1,0,0,0,4
19,3,0,0,0,1,2,4,1,0,0,0,0,0,0,0,4,3,2,4,3,4,0,0,0,1,0,1,0,0,1,1,1,2,15,5,11,0,2,4,4,4,4,5,1,4,3,4,1,1,0,0,0,0,1,1,0,1,0
